name,x,y,buttons,dist,pot,msg
TX8602,2809,959,3,25,3891,"Of course, the internet is neither a mountain nor a tectonic plate. Its very nature is to move at the speed of light, and it will move more quickly than a chunk of earth no matter how we build it, or what we compare it to. And while the speed of the current net often appears to adversely affect our sense of time and our anxieties, it is difficult to say where that settles over the millennia. (observing time - Jon Gacnik)"
TX1723,1643,3186,5,28,2744,
TX8690,3265,1568,1,27,3018,"I was around 13 when I played this Half Life for the first time (21 yrs ago) and because I was allowed 30mins a day to play it took me 3 months to complete.  When someone asks me of my all time favourite games , this is on the tribune with THPS2 and skyrim. ❤"
TX8506,1120,2867,1,20,2446,"So the thing I keep thinking about is, was it worth it to be happy for a little bit, even though it ended up sad? Or would it be better if the whole thing would have never happened?"
TX9157,667,3065,7,28,275,"The light of my life is going out tonight
In a pink champagne Corvette
The light of my life is going out tonight
Without a flicker of regret"
TX8301,1961,3261,6,4,292,I’ve spent my entire adult life trying to escape digital artifacts only to learn now that they are beautiful.
TX3676,1464,3457,2,14,1460,"Siamese Dream by the Smashing Pumpkins is phenomenal from start to finish but man is it hard for me to listen to now that I'm 40. I don't know if it's the fact that I listened to it religiously as a suicidally depressed teen in the mid 90s or if it's because of how masterfully these guys can compose a song that is simultaneously somber, bittersweet but energetic at the same time.  So many emotions jammed into a catchy heavy rock song.  I could go on forever about this and Pisces Iscariot as well"
TX7167,2874,578,5,21,3185,"I’ve got a lot of people that care about me. And uh, it’s going to disappoint them to hear that I did this. I would like to apologize to each and every one of them. Just a broken guy, got a few screws loose, I guess. Never really knew it until now."
TX2325,956,696,2,6,3159,"I went on a walk with my friend who I haven’t seen since the beginning of the semester. We were going up Science Hill and came back down near Trumbull and Temple, around that intersection, around Hillhouse and Trumbull. There’s a backward kind of place that we had access to, that was on a hill. Sat there during the nighttime, looked at the waxing crescent moon. Really beautiful and I really felt connected and love for this friend and being able to sit with my boots and my pants on the grass on this hill and kind of just feel like these trees are huge and canopies around us and also the moon. Really beautiful moment and really nice to spend that half hour over there."
TX6353,2527,1024,0,23,599,"A phrase that comes to mind regularly for me is “The slow blade penetrates the shield,” a phrase from the novel Dune, spoken to the novel’s protagonist during a combat training session. I think of it because I like the notion that in the struggle to create something—to bring to fruition a project, a work of art, a company, whatever— sometimes the best strategy is slowness."
TX8411,2400,3079,2,15,3044,"I was thinking about all the important “nodal points'' (I don’t know what else to call this) of people, places, books, albums, websites, etc. that all played a part in shaping who I am as a person and what I think is important. These points are a combination of seeking things out myself and getting a recommendation that felt like it was actually for me. A mixture of both passive and active knowledge acquisition. This got me thinking that, ultimately, it's the totality of those “nodal points” that indicate one’s own unique perspective. It doesn’t matter if you specifically sought out the nodal point or not, it’s the recognition that counts."
